asset_price,exercise_time,delta
86.0000,0.2560,0.1095
86.0000,0.2640,0.1140
86.0000,0.2720,0.1185
86.0000,0.2800,0.1229
86.0000,0.2880,0.1272
86.0000,0.2960,0.1314
86.0000,0.3040,0.1356
86.0000,0.3120,0.1397
86.0000,0.3200,0.1438
86.0000,0.3280,0.1478
86.0000,0.3360,0.1518
86.0000,0.3440,0.1556
86.0000,0.3520,0.1594
86.0000,0.3600,0.1632
86.0000,0.3680,0.1669
86.0000,0.3760,0.1706
86.0000,0.3840,0.1742
86.0000,0.3920,0.1777
86.0000,0.4000,0.1812
86.0000,0.4080,0.1846
